Code,Count,Statement,Assoc.Pcode,Assoc.CAS,Assoc.Chemical,Prevention,Response,Storage,Disposal
H301,1,Toxic if swallowed.,"{'P264', 'P330', 'P501', 'P321', 'P301+P310', 'P270', 'P405'}",['90076-65-6'],['Bis(trifluoromethane)sulfonimide lithium salt'],"['Wash skin thoroughly after handling.', 'Do not eat, drink or smoke when using this product.']","['Rinse mouth.', 'Specific treatment (see ... on this label).', 'IF SWALLOWED: Immediately call a POISON CENTER or doctor/physician.']",['Store locked up.'],['Dispose of contents/container to ...']
H311,1,Toxic in contact with skin,"{'P312', 'P501', 'P280', 'P363', 'P361', 'P405', 'P322', 'P302+P352'}",['90076-65-6'],['Bis(trifluoromethane)sulfonimide lithium salt'],['Wear protective gloves/protective clothing/eye protection/face protection.'],"['Call a POISON CENTER or doctor/physician if you feel unwell.', 'Wash contaminated clothing before reuse.', 'Remove/Take off immediately all contaminated clothing.', 'Specific measures (see ...on this label).', 'IF ON SKIN: wash with plenty of soap and water.']",['Store locked up.'],['Dispose of contents/container to ...']
H314,4,Causes severe skin burns and eye damage.,"{'P264', 'P310', 'P280', 'P301+P330+P331', 'P363', 'P321', 'P501', 'P305+P351+P338', 'P260', 'P304+P340', 'P405', 'P303+P361+P353'}","['7439-93-2', '7664-93-9', '7722-64-7', '90076-65-6']","['Bis(trifluoromethane)sulfonimide lithium salt', 'Lithium', 'Potassium permanganate', 'Sulfuric acid']","['Wash skin thoroughly after handling.', 'Wear protective gloves/protective clothing/eye protection/face protection.', 'Do not breathe dust/fume/gas/mist/vapors/spray.']","['Immediately call a POISON CENTER or doctor/physician.', 'IF SWALLOWED: Rinse mouth. Do NOT induce vomiting.', 'Wash contaminated clothing before reuse.', 'Specific treatment (see ... on this label).', 'IF IN EYES: Rinse cautiously with water for several minutes. Remove contact lenses, if present and easy to do. Continue rinsing.', 'IF INHALED: Remove victim to fresh air and Keep at rest in a position comfortable for breathing.', 'IF ON SKIN (or hair): Remove/Take off Immediately all contaminated clothing. Rinse SKIN with water/shower.']",['Store locked up.'],['Dispose of contents/container to ...']
H373,3,Causes damage to organs through prolonged or repeated exposure.,"{'P260', 'P314', 'P501'}","['21324-40-3', '7722-64-7', '90076-65-6']","['Bis(trifluoromethane)sulfonimide lithium salt', 'Lithium hexafluorophosphate solution', 'Potassium permanganate']",['Do not breathe dust/fume/gas/mist/vapors/spray.'],['Get medical advice/attention if you feel unwell.'],,['Dispose of contents/container to ...']
H412,2,Harmful to aquatic life with long lasting effects.,"{'P501', 'P273'}","['7722-84-1', '90076-65-6']","['Bis(trifluoromethane)sulfonimide lithium salt', 'Hydrogen peroxide solution']",['Avoid release to the environment.'],,,['Dispose of contents/container to ...']
H226,2,Flammable liquid and vapor.,"{'P242', 'P370+P378', 'P501', 'P280', 'P240', 'P210', 'P241', 'P233', 'P403+P235', 'P243', 'P303+P361+P353'}","['105-58-8', '21324-40-3']","['Diethyl carbonate', 'Lithium hexafluorophosphate solution']","['Use only non-sparking tools.', 'Wear protective gloves/protective clothing/eye protection/face protection.', 'Ground/bond container and receiving equipment.', 'Keep away from heat/sparks/open flames/hot surfaces. No smoking.', 'Use explosion-proof electrical/ventilating/lighting/.../equipment.', 'Keep container tightly closed.', 'Take precautionary measures against static discharge.']","['In case of fire: Use ... for extinction.', 'IF ON SKIN (or hair): Remove/Take off Immediately all contaminated clothing. Rinse SKIN with water/shower.']",['Store in a well-ventilated place. Keep cool.'],['Dispose of contents/container to ...']
H302,2,Harmful if swallowed.,"{'P330', 'P264', 'P501', 'P301+P312', 'P270'}","['21324-40-3', '7722-64-7']","['Lithium hexafluorophosphate solution', 'Potassium permanganate']","['Wash skin thoroughly after handling.', 'Do not eat, drink or smoke when using this product.']","['Rinse mouth.', 'IF SWALLOWED: call a POISON CENTER or doctor/physician IF you feel unwell.']",,['Dispose of contents/container to ...']
H315,1,Causes skin irritation.,"{'P264', 'P280', 'P362', 'P321', 'P332+P313', 'P302+P352'}",['21324-40-3'],['Lithium hexafluorophosphate solution'],"['Wash skin thoroughly after handling.', 'Wear protective gloves/protective clothing/eye protection/face protection.']","['Take off contaminated clothing and wash before reuse.', 'Specific treatment (see ... on this label).', 'IF SKIN irritation occurs: Get medical advice/attention.', 'IF ON SKIN: wash with plenty of soap and water.']",,
H319,4,Causes serious eye irritation.,"{'P305+P351+P338', 'P264', 'P280', 'P337+P313'}","['108-32-7', '21324-40-3', '67-63-0', '67-64-1']","['2-Propanol', 'Acetone', 'Lithium hexafluorophosphate solution', 'Propylene carbonate']","['Wash skin thoroughly after handling.', 'Wear protective gloves/protective clothing/eye protection/face protection.']","['IF IN EYES: Rinse cautiously with water for several minutes. Remove contact lenses, if present and easy to do. Continue rinsing.', 'IF eye irritation persists: Get medical advice/attention.']",,
H372,1,Causes damage to organs through prolonged or repeated exposure.,"{'P264', 'P501', 'P314', 'P260', 'P270'}",['21324-40-3'],['Lithium hexafluorophosphate solution'],"['Wash skin thoroughly after handling.', 'Do not breathe dust/fume/gas/mist/vapors/spray.', 'Do not eat, drink or smoke when using this product.']",['Get medical advice/attention if you feel unwell.'],,['Dispose of contents/container to ...']
