Code,Count,Statement,Assoc.Pcode,Assoc.CAS,Assoc.Chemical,Prevention,Response,Storage,Disposal
H301,2,Toxic if swallowed.,"{'P264', 'P301+P310', 'P270', 'P330', 'P501', 'P405', 'P321'}","['13476-99-8', '366-18-7']","['2,2′-bipyridine', 'Vanadium acetylacetonate']","['Wash skin thoroughly after handling.', 'Do not eat, drink or smoke when using this product.']","['IF SWALLOWED: Immediately call a POISON CENTER or doctor/physician.', 'Rinse mouth.', 'Specific treatment (see ... on this label).']",['Store locked up.'],['Dispose of contents/container to ...']
H315,2,Causes skin irritation.,"{'P280', 'P264', 'P362', 'P302+P352', 'P332+P313', 'P321'}","['13476-99-8', '429-06-1']","['Tetraethylammonium tetrafluoroborate', 'Vanadium acetylacetonate']","['Wear protective gloves/protective clothing/eye protection/face protection.', 'Wash skin thoroughly after handling.']","['Take off contaminated clothing and wash before reuse.', 'IF ON SKIN: wash with plenty of soap and water.', 'IF SKIN irritation occurs: Get medical advice/attention.', 'Specific treatment (see ... on this label).']",,
H319,5,Causes serious eye irritation.,"{'P305+P351+P338', 'P337+P313', 'P280', 'P264'}","['13476-99-8', '429-06-1', '67-63-0', '67-64-1', '75-05-8']","['Acetone', 'Acetonitrile', 'Isopropanol', 'Tetraethylammonium tetrafluoroborate', 'Vanadium acetylacetonate']","['Wear protective gloves/protective clothing/eye protection/face protection.', 'Wash skin thoroughly after handling.']","['IF IN EYES: Rinse cautiously with water for several minutes. Remove contact lenses, if present and easy to do. Continue rinsing.', 'IF eye irritation persists: Get medical advice/attention.']",,
H335,3,May cause respiratory irritation.,"{'P403+P233', 'P261', 'P304+P340', 'P501', 'P405', 'P271', 'P312'}","['13476-99-8', '429-06-1', '75-75-2']","['Iron methanesulfonate', 'Tetraethylammonium tetrafluoroborate', 'Vanadium acetylacetonate']","['Avoid breathing dust/fume/gas/mist/vapors/spray.', 'Use only outdoors or in a well-ventilated area.']","['IF INHALED: Remove victim to fresh air and Keep at rest in a position comfortable for breathing.', 'Call a POISON CENTER or doctor/physician if you feel unwell.']","['Store in a well-ventilated place. Keep container tightly closed.', 'Store locked up.']",['Dispose of contents/container to ...']
H302,4,Harmful if swallowed.,"{'P264', 'P270', 'P330', 'P501', 'P301+P312'}","['429-06-1', '60-29-7', '75-05-8', '75-75-2']","['Acetonitrile', 'Diethyl ether', 'Iron methanesulfonate', 'Tetraethylammonium tetrafluoroborate']","['Wash skin thoroughly after handling.', 'Do not eat, drink or smoke when using this product.']","['Rinse mouth.', 'IF SWALLOWED: call a POISON CENTER or doctor/physician IF you feel unwell.']",,['Dispose of contents/container to ...']
H312,3,Harmful in contact with skin.,"{'P322', 'P280', 'P501', 'P302+P352', 'P363', 'P312'}","['429-06-1', '75-05-8', '75-75-2']","['Acetonitrile', 'Iron methanesulfonate', 'Tetraethylammonium tetrafluoroborate']",['Wear protective gloves/protective clothing/eye protection/face protection.'],"['Specific measures (see ...on this label).', 'IF ON SKIN: wash with plenty of soap and water.', 'Wash contaminated clothing before reuse.', 'Call a POISON CENTER or doctor/physician if you feel unwell.']",,['Dispose of contents/container to ...']
H332,2,Harmful if inhaled.,"{'P304+P340', 'P312', 'P271', 'P261'}","['429-06-1', '75-05-8']","['Acetonitrile', 'Tetraethylammonium tetrafluoroborate']","['Use only outdoors or in a well-ventilated area.', 'Avoid breathing dust/fume/gas/mist/vapors/spray.']","['IF INHALED: Remove victim to fresh air and Keep at rest in a position comfortable for breathing.', 'Call a POISON CENTER or doctor/physician if you feel unwell.']",,
H290,1,May be corrosive to metals.,"{'P390', 'P404', 'P234'}",['75-75-2'],['Iron methanesulfonate'],['Keep only in original container.'],['Absorb spillage to prevent material damage.'],['Store in a closed container.'],
H314,1,Causes severe skin burns and eye damage.,"{'P280', 'P264', 'P310', 'P305+P351+P338', 'P304+P340', 'P501', 'P301+P330+P331', 'P363', 'P405', 'P260', 'P321', 'P303+P361+P353'}",['75-75-2'],['Iron methanesulfonate'],"['Wear protective gloves/protective clothing/eye protection/face protection.', 'Wash skin thoroughly after handling.', 'Do not breathe dust/fume/gas/mist/vapors/spray.']","['Immediately call a POISON CENTER or doctor/physician.', 'IF IN EYES: Rinse cautiously with water for several minutes. Remove contact lenses, if present and easy to do. Continue rinsing.', 'IF INHALED: Remove victim to fresh air and Keep at rest in a position comfortable for breathing.', 'IF SWALLOWED: Rinse mouth. Do NOT induce vomiting.', 'Wash contaminated clothing before reuse.', 'Specific treatment (see ... on this label).', 'IF ON SKIN (or hair): Remove/Take off Immediately all contaminated clothing. Rinse SKIN with water/shower.']",['Store locked up.'],['Dispose of contents/container to ...']
H311,1,Toxic in contact with skin,"{'P322', 'P280', 'P501', 'P302+P352', 'P363', 'P405', 'P361', 'P312'}",['366-18-7'],"['2,2′-bipyridine']",['Wear protective gloves/protective clothing/eye protection/face protection.'],"['Specific measures (see ...on this label).', 'IF ON SKIN: wash with plenty of soap and water.', 'Wash contaminated clothing before reuse.', 'Remove/Take off immediately all contaminated clothing.', 'Call a POISON CENTER or doctor/physician if you feel unwell.']",['Store locked up.'],['Dispose of contents/container to ...']
H225,3,Highly Flammable liquid and vapor.,"{'P403+P235', 'P242', 'P280', 'P210', 'P370+P378', 'P240', 'P501', 'P241', 'P233', 'P243', 'P303+P361+P353'}","['67-63-0', '67-64-1', '75-05-8']","['Acetone', 'Acetonitrile', 'Isopropanol']","['Use only non-sparking tools.', 'Wear protective gloves/protective clothing/eye protection/face protection.', 'Keep away from heat/sparks/open flames/hot surfaces. No smoking.', 'Ground/bond container and receiving equipment.', 'Use explosion-proof electrical/ventilating/lighting/.../equipment.', 'Keep container tightly closed.', 'Take precautionary measures against static discharge.']","['In case of fire: Use ... for extinction.', 'IF ON SKIN (or hair): Remove/Take off Immediately all contaminated clothing. Rinse SKIN with water/shower.']",['Store in a well-ventilated place. Keep cool.'],['Dispose of contents/container to ...']
H336,3,May cause drowsiness or dizziness.,"{'P403+P233', 'P261', 'P304+P340', 'P501', 'P405', 'P271', 'P312'}","['60-29-7', '67-63-0', '67-64-1']","['Acetone', 'Diethyl ether', 'Isopropanol']","['Avoid breathing dust/fume/gas/mist/vapors/spray.', 'Use only outdoors or in a well-ventilated area.']","['IF INHALED: Remove victim to fresh air and Keep at rest in a position comfortable for breathing.', 'Call a POISON CENTER or doctor/physician if you feel unwell.']","['Store in a well-ventilated place. Keep container tightly closed.', 'Store locked up.']",['Dispose of contents/container to ...']
H224,1,Extremely flammable liquid and vapor.,"{'P403+P235', 'P242', 'P280', 'P210', 'P370+P378', 'P240', 'P501', 'P241', 'P233', 'P243', 'P303+P361+P353'}",['60-29-7'],['Diethyl ether'],"['Use only non-sparking tools.', 'Wear protective gloves/protective clothing/eye protection/face protection.', 'Keep away from heat/sparks/open flames/hot surfaces. No smoking.', 'Ground/bond container and receiving equipment.', 'Use explosion-proof electrical/ventilating/lighting/.../equipment.', 'Keep container tightly closed.', 'Take precautionary measures against static discharge.']","['In case of fire: Use ... for extinction.', 'IF ON SKIN (or hair): Remove/Take off Immediately all contaminated clothing. Rinse SKIN with water/shower.']",['Store in a well-ventilated place. Keep cool.'],['Dispose of contents/container to ...']
